Tipo Titulo,Data Vencimento,Data Base,Taxa Compra Manha,Taxa Venda Manha,PU Compra Manha,PU Venda Manha,PU Base Manha,Prazo_anos
Tesouro IPCA+,2024-08-15,2005-11-24,"8,81","8,89","322,62","318,22","318,08",18.72416153319644
Tesouro IPCA+,2015-05-15,2005-11-25,"8,64","8,70","713,33","709,62","709,11",9.467488021902806
Tesouro IPCA+,2024-08-15,2005-11-25,"8,81","8,89","322,85","318,46","318,22",18.72142368240931
Tesouro IPCA+,2015-05-15,2005-11-28,"8,64","8,70","714,15","710,44","710,08",9.45927446954141
Tesouro IPCA+,2024-08-15,2005-11-28,"8,81","8,89","323,23","318,83","318,66",18.713210130047912
Tesouro IPCA+,2015-05-15,2005-11-29,"8,65","8,71","713,89","710,19","709,83",9.456536618754278
Tesouro IPCA+,2024-08-15,2005-11-29,"8,81","8,89","323,39","318,99","318,83",18.71047227926078
Tesouro IPCA+,2015-05-15,2005-11-30,"8,65","8,71","714,26","710,55","710,19",9.453798767967145
Tesouro IPCA+,2024-08-15,2005-11-30,"8,81","8,89","323,56","319,16","318,99",18.70773442847365
Tesouro IPCA+,2015-05-15,2005-12-01,"8,67","8,73","713,38","709,69","709,32",9.451060917180014
Tesouro IPCA+,2024-08-15,2005-12-01,"8,83","8,91","322,62","318,23","318,07",18.704996577686515
Tesouro IPCA+,2015-05-15,2005-12-02,"8,65","8,71","715,24","711,53","710,92",9.44832306639288
Tesouro IPCA+,2024-08-15,2005-12-02,"8,83","8,91","322,90","318,51","318,23",18.702258726899384
Tesouro IPCA+,2015-05-15,2005-12-05,"8,66","8,72","714,99","711,28","710,92",9.440109514031485
Tesouro IPCA+,2024-08-15,2005-12-05,"8,82","8,90","323,62","319,22","319,06",18.694045174537987
Tesouro IPCA+,2015-05-15,2005-12-06,"8,68","8,74","714,11","710,42","710,05",9.437371663244353
Tesouro IPCA+,2024-08-15,2005-12-06,"8,82","8,90","323,79","319,39","319,22",18.691307323750856
Tesouro IPCA+,2015-05-15,2005-12-07,"8,68","8,74","714,48","710,78","710,42",9.434633812457221
Tesouro IPCA+,2024-08-15,2005-12-07,"8,82","8,90","323,95","319,55","319,39",18.688569472963724
Tesouro IPCA+,2015-05-15,2005-12-08,"8,67","8,73","715,46","711,76","711,39",9.431895961670088
Tesouro IPCA+,2024-08-15,2005-12-08,"8,83","8,91","323,57","319,17","319,01",18.68583162217659
Tesouro IPCA+,2015-05-15,2005-12-09,"8,67","8,73","716,15","712,44","711,81",9.429158110882957
Tesouro IPCA+,2024-08-15,2005-12-09,"8,83","8,91","323,88","319,48","319,20",18.68309377138946
Tesouro IPCA+,2015-05-15,2005-12-12,"8,67","8,73","716,51","712,81","712,44",9.42094455852156
Tesouro IPCA+,2024-08-15,2005-12-12,"8,83","8,91","324,05","319,65","319,48",18.67488021902806
Tesouro IPCA+,2015-05-15,2005-12-13,"8,67","8,73","716,88","713,18","712,81",9.418206707734429
Tesouro IPCA+,2024-08-15,2005-12-13,"8,83","8,91","324,21","319,81","319,65",18.67214236824093
Tesouro IPCA+,2015-05-15,2005-12-14,"8,65","8,71","718,49","714,78","714,41",9.415468856947296
